duplicate_set,file_path,filename,file_size,is_primary
1aa02a6e,youtube_downloads/James_Kirton_CRG_Typing_1_CRG TYPING VIDEO PART 1.en-orig.srt,James_Kirton_CRG_Typing_1_CRG TYPING VIDEO PART 1.en-orig.srt,190036,True
1aa02a6e,youtube_downloads/James_Kirton_CRG_Typing_1_CRG TYPING VIDEO PART 1.en.srt,James_Kirton_CRG_Typing_1_CRG TYPING VIDEO PART 1.en.srt,190036,False
78520399,youtube_downloads/James_Kirton_OPS_Typing_2_OPS Typing Video Part 2 of 3.en.srt,James_Kirton_OPS_Typing_2_OPS Typing Video Part 2 of 3.en.srt,157079,True
78520399,youtube_downloads/James_Kirton_OPS_Typing_2_OPS Typing Video Part 2 of 3.en-orig.srt,James_Kirton_OPS_Typing_2_OPS Typing Video Part 2 of 3.en-orig.srt,157079,False
70729e8a,youtube_downloads/James_Kirton_OPS_Typing_1_OPS Typing Video Part 1.en-orig.srt,James_Kirton_OPS_Typing_1_OPS Typing Video Part 1.en-orig.srt,100680,True
70729e8a,youtube_downloads/James_Kirton_OPS_Typing_1_OPS Typing Video Part 1.en.srt,James_Kirton_OPS_Typing_1_OPS Typing Video Part 1.en.srt,100680,False
2fd42163,youtube_downloads/James_Kirton_OPS_Typing_3_Ops 3⧸3 Well done you made it through da madness. Final video..en.srt,James_Kirton_OPS_Typing_3_Ops 3⧸3 Well done you made it through da madness. Final video..en.srt,66462,True
2fd42163,youtube_downloads/James_Kirton_OPS_Typing_3_Ops 3⧸3 Well done you made it through da madness. Final video..en-orig.srt,James_Kirton_OPS_Typing_3_Ops 3⧸3 Well done you made it through da madness. Final video..en-orig.srt,66462,False
b7b49c5e,youtube_downloads/James_Kirton_CRG_Typing_2_CRG TYPING VIDEO Part 2 🦋.en-orig.srt,James_Kirton_CRG_Typing_2_CRG TYPING VIDEO Part 2 🦋.en-orig.srt,53486,True
b7b49c5e,youtube_downloads/James_Kirton_CRG_Typing_2_CRG TYPING VIDEO Part 2 🦋.en.srt,James_Kirton_CRG_Typing_2_CRG TYPING VIDEO Part 2 🦋.en.srt,53486,False
